LAST SEEN   TYPE     REASON              OBJECT                                         MESSAGE
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-qjbsb    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-qjbsb to ip-192-168-3-132.us-west-2.compute.internal
19m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-pxmq5    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-pxmq5 to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-hvbkw    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-hvbkw to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-cmrt4    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-cmrt4 to ip-192-168-3-132.us-west-2.compute.internal
19m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-4xps9    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-4xps9 to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-pvtcf    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-pvtcf to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-6gqp4    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-6gqp4 to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-htvzb    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-htvzb to ip-192-168-3-132.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-h7nrh    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-h7nrh to ip-192-168-3-120.us-west-2.compute.internal
21m         Normal   Scheduled           pod/anomalo-worker-control-746597f8dd-v5s69    Successfully assigned anomalo/anomalo-worker-control-746597f8dd-v5s69 to ip-192-168-3-132.us-west-2.compute.internal
